date,close
22-06-2015,222.97
23-06-2015,223.71
24-06-2015,222.79
25-06-2015,225.86
26-06-2015,224.99
29-06-2015,222.78
30-06-2015,224.86
01-07-2015,226.1
02-07-2015,227.27
03-07-2015,226.45
06-07-2015,228.33
07-07-2015,225.56
08-07-2015,224.07
09-07-2015,222
10-07-2015,225.24
13-07-2015,226.41
14-07-2015,224.34
15-07-2015,227.34
16-07-2015,230.16
17-07-2015,229.71
20-07-2015,230.4
21-07-2015,226.59
22-07-2015,236.17
23-07-2015,235.02
24-07-2015,230.47
27-07-2015,226.04
28-07-2015,227.14
29-07-2015,223.93
30-07-2015,224.87
31-07-2015,225.25
03-08-2015,225.38
04-08-2015,222.14
05-08-2015,222.08
06-08-2015,220.1
07-08-2015,221.31
10-08-2015,217.84
11-08-2015,217.19
12-08-2015,212
13-08-2015,209.85
14-08-2015,217.4
17-08-2015,213.75
18-08-2015,212.27
19-08-2015,214.63
20-08-2015,206.01
21-08-2015,204.14
24-08-2015,186.51
25-08-2015,190.69
26-08-2015,191.87
27-08-2015,195.41
28-08-2015,196.14
31-08-2015,192.44
01-09-2015,188.83
02-09-2015,191.01
03-09-2015,191.97
04-09-2015,187.94
07-09-2015,187.33
08-09-2015,190.79
09-09-2015,196.52
10-09-2015,194.93
11-09-2015,193.57
14-09-2015,194.22
15-09-2015,195.19
16-09-2015,196.18
18-09-2015,201.32
21-09-2015,197.43
22-09-2015,190.64
23-09-2015,191.19
24-09-2015,188.26
28-09-2015,187.57
29-09-2015,189.03
30-09-2015,193.87
01-10-2015,194.41
05-10-2015,199.65
06-10-2015,201.91
07-10-2015,205.45
08-10-2015,199.9
09-10-2015,199.51
12-10-2015,200.5
13-10-2015,200.91
14-10-2015,203.01
15-10-2015,203.18
16-10-2015,205.08
19-10-2015,216.63
20-10-2015,215.1
21-10-2015,214.72
23-10-2015,214.86
26-10-2015,211.98
27-10-2015,211.24
28-10-2015,210.66
29-10-2015,211.57
30-10-2015,213.07
02-11-2015,215.8
03-11-2015,217.46
04-11-2015,213.88
05-11-2015,210.58
06-11-2015,214.13
09-11-2015,216.12
10-11-2015,207.47
11-11-2015,208.75
13-11-2015,209.78
16-11-2015,210.06
17-11-2015,208.59
18-11-2015,205.05
19-11-2015,210.16
20-11-2015,212.88
23-11-2015,214.43
24-11-2015,217.57
26-11-2015,222.28
27-11-2015,220.12
30-11-2015,217.16
01-12-2015,217.17
02-12-2015,219.88
03-12-2015,219.71
04-12-2015,217.07
07-12-2015,214.05
08-12-2015,211.55
09-12-2015,205.93
10-12-2015,213.67
11-12-2015,214.26
14-12-2015,214.74
15-12-2015,219.42
16-12-2015,220.03
17-12-2015,227.01
18-12-2015,223.01
21-12-2015,223.06
22-12-2015,221.98
23-12-2015,225.69
24-12-2015,224.96
28-12-2015,227.17
29-12-2015,228.3
30-12-2015,225.85
31-12-2015,228.12
01-01-2016,228.28
04-01-2016,223.78
05-01-2016,225.99
06-01-2016,232.07
07-01-2016,227.81
08-01-2016,230.62
11-01-2016,236.43
12-01-2016,235.05
13-01-2016,242.11
14-01-2016,238.69
15-01-2016,241.31
18-01-2016,228.62
19-01-2016,234.64
20-01-2016,225.86
21-01-2016,221.28
22-01-2016,225.77
25-01-2016,225.72
27-01-2016,224.69
28-01-2016,228.63
29-01-2016,232.79
01-02-2016,231.65
02-02-2016,225.09
03-02-2016,220.65
04-02-2016,218.77
05-02-2016,218.29
08-02-2016,216.08
09-02-2016,215.28
10-02-2016,216.44
11-02-2016,207.87
12-02-2016,203.82
15-02-2016,212.86
16-02-2016,209.22
17-02-2016,214.18
18-02-2016,211.37
19-02-2016,212.32
22-02-2016,216.36
23-02-2016,213.51
24-02-2016,214.19
25-02-2016,212.27
26-02-2016,213.67
29-02-2016,217.34
01-03-2016,220.63
02-03-2016,225.17
03-03-2016,227.72
04-03-2016,226.27
08-03-2016,230.9
09-03-2016,234.21
10-03-2016,227.48
11-03-2016,228.09
14-03-2016,229.27
15-03-2016,229.44
16-03-2016,229.72
17-03-2016,228.43
18-03-2016,230.95
21-03-2016,233.22
22-03-2016,235.59
23-03-2016,231.4
28-03-2016,229.42
29-03-2016,232.98
30-03-2016,235.41
31-03-2016,235
01-04-2016,232.58
04-04-2016,232.71
05-04-2016,230.89
06-04-2016,232.42
07-04-2016,233.21
08-04-2016,233.01
11-04-2016,233.89
12-04-2016,235.49
13-04-2016,239.68
18-04-2016,239.39
20-04-2016,233.22
21-04-2016,234.09
22-04-2016,233.59
25-04-2016,228.63
26-04-2016,228.64
27-04-2016,229.2
28-04-2016,224.09
29-04-2016,220.94
02-05-2016,221.9
03-05-2016,219.39
04-05-2016,219.91
05-05-2016,219.27
06-05-2016,217.85
09-05-2016,221.03
10-05-2016,220.91
11-05-2016,219.3
12-05-2016,223.21
13-05-2016,219.92
16-05-2016,219.43
17-05-2016,217.9
18-05-2016,218.21
19-05-2016,213.86
20-05-2016,210.04
23-05-2016,209.1
24-05-2016,211.44
25-05-2016,213.86
26-05-2016,212.88
27-05-2016,219.15
30-05-2016,217.8
31-05-2016,215.36
01-06-2016,214.4
02-06-2016,215
03-06-2016,215.76
06-06-2016,214.67
07-06-2016,214.73
08-06-2016,214.51
09-06-2016,218.35
10-06-2016,219.59
13-06-2016,220.58
14-06-2016,219.49
15-06-2016,221.37
16-06-2016,219.5
17-06-2016,219.19
20-06-2016,222.63
21-06-2016,221.93
22-06-2016,220.45
23-06-2016,220.44
24-06-2016,213.92
27-06-2016,214.86
28-06-2016,215.35
29-06-2016,217.39
30-06-2016,217.9
01-07-2016,218.86
04-07-2016,221.84
05-07-2016,223.28
07-07-2016,222.11
08-07-2016,219.98
11-07-2016,223.15
12-07-2016,225.6
13-07-2016,226.8
14-07-2016,225.94
15-07-2016,227.58
18-07-2016,226.24
19-07-2016,228.84
20-07-2016,230
21-07-2016,226.26
22-07-2016,228.17
25-07-2016,229.95
26-07-2016,230.24
27-07-2016,227.78
28-07-2016,230.76
29-07-2016,228.18
01-08-2016,226.97
02-08-2016,227.71
03-08-2016,223.47
04-08-2016,223.26
05-08-2016,228.49
08-08-2016,231.41
09-08-2016,231.74
10-08-2016,225.65
11-08-2016,228
12-08-2016,232.88
16-08-2016,230.43
17-08-2016,227.82
18-08-2016,228.89
19-08-2016,228.18
22-08-2016,227.5
23-08-2016,227.18
24-08-2016,229.44
25-08-2016,227.69
26-08-2016,231.11
29-08-2016,237.75
30-08-2016,239.76
31-08-2016,238.32
01-09-2016,231.4
02-09-2016,227.84
06-09-2016,229.31
07-09-2016,228.8
08-09-2016,232.34
09-09-2016,234.85
12-09-2016,235.29
14-09-2016,234.89
15-09-2016,239.45
16-09-2016,241.82
19-09-2016,243.36
20-09-2016,241.52
21-09-2016,241.08
22-09-2016,244.83
23-09-2016,247.95
26-09-2016,248.94
27-09-2016,249.68
28-09-2016,245.21
29-09-2016,241.12
30-09-2016,243.65
03-10-2016,245.23
04-10-2016,246.5
05-10-2016,244.93
06-10-2016,249.75
07-10-2016,249.34
10-10-2016,246.5
13-10-2016,237.68
14-10-2016,242.29
17-10-2016,238.47
18-10-2016,243.07
19-10-2016,244.47
20-10-2016,244.52
21-10-2016,239.27
24-10-2016,239.07
25-10-2016,238.51
26-10-2016,236.99
27-10-2016,235.78
28-10-2016,237.19
30-10-2016,236.35
01-11-2016,236.3
02-11-2016,230.17
03-11-2016,230.22
04-11-2016,226.08
07-11-2016,225.09
08-11-2016,225.62
09-11-2016,225.87
10-11-2016,227.17
11-11-2016,225.23
15-11-2016,221.55
16-11-2016,221.81
17-11-2016,219.83
18-11-2016,222.02
21-11-2016,222.92
22-11-2016,225.16
23-11-2016,226.86
24-11-2016,221.99
25-11-2016,223.42
28-11-2016,221.83
29-11-2016,224.32
30-11-2016,222.6
01-12-2016,224.33
02-12-2016,223.65
05-12-2016,223.45
06-12-2016,226
07-12-2016,224.64
08-12-2016,229.34
09-12-2016,231.34
12-12-2016,230.95
13-12-2016,233.78
14-12-2016,238.21
15-12-2016,236.74
16-12-2016,237.68
19-12-2016,238.9
20-12-2016,237.85
21-12-2016,239.05
22-12-2016,236.83
23-12-2016,237.72
26-12-2016,235.5
27-12-2016,239.38
28-12-2016,236.01
29-12-2016,239.55
30-12-2016,243.36
02-01-2017,243.97
03-01-2017,244.93
04-01-2017,239.93
05-01-2017,242.24
06-01-2017,241.68
09-01-2017,242.3
10-01-2017,245.03
11-01-2017,244.18
12-01-2017,243.56
13-01-2017,245.16
16-01-2017,241.98
17-01-2017,234.11
18-01-2017,232.15
19-01-2017,232.41
20-01-2017,230.63
23-01-2017,228.41
24-01-2017,230.97
25-01-2017,228.72
27-01-2017,230.48
30-01-2017,234.91
31-01-2017,235
01-02-2017,236
02-02-2017,234.61
03-02-2017,232.4
06-02-2017,234.2
07-02-2017,231.78
08-02-2017,230.49
09-02-2017,232.2
10-02-2017,231.61
13-02-2017,231.54
14-02-2017,236.03
15-02-2017,236.37
16-02-2017,240.01
17-02-2017,241.81
