date,close
01-01-2015,236.89
02-01-2015,240.19
05-01-2015,238.16
06-01-2015,234.46
07-01-2015,235.14
08-01-2015,240.08
09-01-2015,242.77
12-01-2015,240.63
13-01-2015,239.71
14-01-2015,239.84
15-01-2015,247.12
16-01-2015,249.16
19-01-2015,249.96
20-01-2015,254.04
21-01-2015,253.79
22-01-2015,254.11
23-01-2015,259.48
27-01-2015,267.25
28-01-2015,263.34
29-01-2015,272.46
30-01-2015,268.07
02-02-2015,269.13
03-02-2015,264.78
04-02-2015,265.67
05-02-2015,267.86
06-02-2015,262.14
09-02-2015,258.8
10-02-2015,262.37
11-02-2015,263.36
12-02-2015,267.74
13-02-2015,265.2
16-02-2015,265.63
18-02-2015,267.44
19-02-2015,268.68
20-02-2015,267
23-02-2015,265.62
24-02-2015,265.66
25-02-2015,261.88
26-02-2015,258.32
27-02-2015,262.26
28-02-2015,266.54
02-03-2015,269.37
03-03-2015,269.57
04-03-2015,265.07
05-03-2015,270
09-03-2015,263.51
10-03-2015,261.9
11-03-2015,262.87
12-03-2015,262.41
13-03-2015,259.44
16-03-2015,261.65
17-03-2015,263.27
18-03-2015,264.64
19-03-2015,261.81
20-03-2015,262.73
23-03-2015,260.71
24-03-2015,258.27
25-03-2015,257.35
26-03-2015,250.55
27-03-2015,252.47
30-03-2015,258.01
31-03-2015,254.47
01-04-2015,257.1
06-04-2015,256.78
07-04-2015,256.97
08-04-2015,257.67
09-04-2015,262.78
10-04-2015,259.44
13-04-2015,258.48
15-04-2015,256.7
16-04-2015,256.2
17-04-2015,253.37
20-04-2015,250.09
21-04-2015,249.57
22-04-2015,252.09
23-04-2015,252.18
24-04-2015,250.43
27-04-2015,250.18
28-04-2015,249.96
29-04-2015,247.12
30-04-2015,246.04
04-05-2015,249.06
05-05-2015,245.75
06-05-2015,241.51
07-05-2015,236.71
08-05-2015,244.35
11-05-2015,246.41
12-05-2015,241.85
13-05-2015,246.4
14-05-2015,246.6
15-05-2015,246.36
18-05-2015,251.28
19-05-2015,250.7
20-05-2015,254.81
21-05-2015,254.97
22-05-2015,254.87
25-05-2015,254.69
26-05-2015,255.64
27-05-2015,258.32
28-05-2015,256.14
29-05-2015,261.4
01-06-2015,257.83
02-06-2015,251.02
03-06-2015,250.21
04-06-2015,252.55
05-06-2015,251.75
08-06-2015,249.68
09-06-2015,249.29
10-06-2015,252.71
11-06-2015,248.88
12-06-2015,251.1
15-06-2015,250.12
16-06-2015,250.92
17-06-2015,250
18-06-2015,253.7
19-06-2015,256.41
22-06-2015,260.56
23-06-2015,261.79
24-06-2015,260.22
25-06-2015,265
26-06-2015,264.46
29-06-2015,262.92
30-06-2015,265.53
01-07-2015,266.83
02-07-2015,263.31
03-07-2015,267.3
06-07-2015,269.6
07-07-2015,270.44
08-07-2015,265.96
09-07-2015,267.25
10-07-2015,271.41
13-07-2015,272.75
14-07-2015,271.68
15-07-2015,272.89
16-07-2015,277.37
17-07-2015,276.33
20-07-2015,277.5
21-07-2015,273.22
22-07-2015,277.29
23-07-2015,275.67
24-07-2015,275.66
27-07-2015,272.68
28-07-2015,275.82
29-07-2015,275.79
30-07-2015,276.33
31-07-2015,276.61
03-08-2015,272.56
04-08-2015,270.34
05-08-2015,271.77
06-08-2015,272.7
07-08-2015,271.88
10-08-2015,272.38
11-08-2015,272.39
12-08-2015,266.36
13-08-2015,268.12
14-08-2015,274.16
17-08-2015,271.59
18-08-2015,270.31
19-08-2015,269.19
20-08-2015,267.41
21-08-2015,264.08
24-08-2015,253.57
25-08-2015,253.42
26-08-2015,252.18
27-08-2015,254.32
28-08-2015,255.78
31-08-2015,255.66
01-09-2015,248.85
02-09-2015,247.62
03-09-2015,251.39
04-09-2015,247.84
07-09-2015,244.96
08-09-2015,249.83
09-09-2015,252.88
10-09-2015,251.56
11-09-2015,251.44
14-09-2015,253.73
15-09-2015,252.1
16-09-2015,254.64
18-09-2015,261.2
21-09-2015,262
22-09-2015,256.45
23-09-2015,261.07
24-09-2015,261.62
28-09-2015,260.37
29-09-2015,264.95
30-09-2015,265.94
01-10-2015,265.66
05-10-2015,273.3
06-10-2015,270.21
07-10-2015,270.66
08-10-2015,269.5
09-10-2015,270.26
12-10-2015,268.87
13-10-2015,267.82
14-10-2015,269.91
15-10-2015,269.76
16-10-2015,273.72
19-10-2015,273.16
20-10-2015,272.44
21-10-2015,272.46
23-10-2015,275.82
26-10-2015,274.08
27-10-2015,276.42
28-10-2015,276.57
29-10-2015,274.59
30-10-2015,273.61
02-11-2015,269.5
03-11-2015,269.95
04-11-2015,269.15
05-11-2015,268.69
06-11-2015,268.96
09-11-2015,264.95
10-11-2015,262.41
11-11-2015,262.36
13-11-2015,261.78
16-11-2015,263.99
17-11-2015,263.95
18-11-2015,260.92
19-11-2015,265.97
20-11-2015,266.45
23-11-2015,265.26
24-11-2015,264.84
26-11-2015,264.74
