date,close
01-01-2015,"8,284.00"
02-01-2015,"8,395.45"
05-01-2015,"8,378.40"
06-01-2015,"8,127.35"
07-01-2015,"8,102.10"
08-01-2015,"8,234.60"
09-01-2015,"8,284.50"
12-01-2015,"8,323.00"
13-01-2015,"8,299.40"
14-01-2015,"8,277.55"
15-01-2015,"8,494.15"
16-01-2015,"8,513.80"
19-01-2015,"8,550.70"
20-01-2015,"8,695.60"
21-01-2015,"8,729.50"
22-01-2015,"8,761.40"
23-01-2015,"8,835.60"
27-01-2015,"8,910.50"
28-01-2015,"8,914.30"
29-01-2015,"8,952.35"
30-01-2015,"8,808.90"
02-02-2015,"8,797.40"
03-02-2015,"8,756.55"
04-02-2015,"8,723.70"
05-02-2015,"8,711.70"
06-02-2015,"8,661.05"
09-02-2015,"8,526.35"
10-02-2015,"8,565.55"
11-02-2015,"8,627.40"
12-02-2015,"8,711.55"
13-02-2015,"8,805.50"
16-02-2015,"8,809.35"
18-02-2015,"8,869.10"
19-02-2015,"8,895.30"
20-02-2015,"8,833.60"
23-02-2015,"8,754.95"
24-02-2015,"8,762.10"
25-02-2015,"8,767.25"
26-02-2015,"8,683.85"
27-02-2015,"8,844.60"
28-02-2015,"8,901.85"
02-03-2015,"8,956.75"
03-03-2015,"8,996.25"
04-03-2015,"8,922.65"
05-03-2015,"8,937.75"
09-03-2015,"8,756.75"
10-03-2015,"8,712.05"
11-03-2015,"8,699.95"
12-03-2015,"8,776.00"
13-03-2015,"8,647.75"
16-03-2015,"8,633.15"
17-03-2015,"8,723.30"
18-03-2015,"8,685.90"
19-03-2015,"8,634.65"
20-03-2015,"8,570.90"
23-03-2015,"8,550.90"
24-03-2015,"8,542.95"
25-03-2015,"8,530.80"
26-03-2015,"8,342.15"
27-03-2015,"8,341.40"
30-03-2015,"8,492.30"
31-03-2015,"8,491.00"
01-04-2015,"8,586.25"
06-04-2015,"8,659.90"
07-04-2015,"8,660.30"
08-04-2015,"8,714.40"
09-04-2015,"8,778.30"
10-04-2015,"8,780.35"
13-04-2015,"8,834.00"
15-04-2015,"8,750.20"
16-04-2015,"8,706.70"
17-04-2015,"8,606.00"
20-04-2015,"8,448.10"
21-04-2015,"8,377.75"
22-04-2015,"8,429.70"
23-04-2015,"8,398.30"
24-04-2015,"8,305.25"
27-04-2015,"8,213.80"
28-04-2015,"8,285.60"
29-04-2015,"8,239.75"
30-04-2015,"8,181.50"
04-05-2015,"8,331.95"
05-05-2015,"8,324.80"
06-05-2015,"8,097.00"
07-05-2015,"8,057.30"
08-05-2015,"8,191.50"
11-05-2015,"8,325.25"
12-05-2015,"8,126.95"
13-05-2015,"8,235.45"
14-05-2015,"8,224.20"
15-05-2015,"8,262.35"
18-05-2015,"8,373.65"
19-05-2015,"8,365.65"
20-05-2015,"8,423.25"
21-05-2015,"8,421.00"
22-05-2015,"8,458.95"
25-05-2015,"8,370.25"
26-05-2015,"8,339.35"
27-05-2015,"8,334.60"
28-05-2015,"8,319.00"
29-05-2015,"8,433.65"
01-06-2015,"8,433.40"
02-06-2015,"8,236.45"
03-06-2015,"8,135.10"
04-06-2015,"8,130.65"
05-06-2015,"8,114.70"
08-06-2015,"8,044.15"
09-06-2015,"8,022.40"
10-06-2015,"8,124.45"
11-06-2015,"7,965.35"
12-06-2015,"7,982.90"
15-06-2015,"8,013.90"
16-06-2015,"8,047.30"
17-06-2015,"8,091.55"
18-06-2015,"8,174.60"
19-06-2015,"8,224.95"
22-06-2015,"8,353.10"
23-06-2015,"8,381.55"
24-06-2015,"8,360.85"
25-06-2015,"8,398.00"
26-06-2015,"8,381.10"
29-06-2015,"8,318.40"
30-06-2015,"8,368.50"
01-07-2015,"8,453.05"
02-07-2015,"8,444.90"
03-07-2015,"8,484.90"
06-07-2015,"8,522.15"
07-07-2015,"8,510.80"
08-07-2015,"8,363.05"
09-07-2015,"8,328.55"
10-07-2015,"8,360.55"
13-07-2015,"8,459.65"
14-07-2015,"8,454.10"
15-07-2015,"8,523.80"
16-07-2015,"8,608.05"
17-07-2015,"8,609.85"
20-07-2015,"8,603.45"
21-07-2015,"8,529.45"
22-07-2015,"8,633.50"
23-07-2015,"8,589.80"
24-07-2015,"8,521.55"
27-07-2015,"8,361.00"
28-07-2015,"8,337.00"
29-07-2015,"8,375.05"
30-07-2015,"8,421.80"
31-07-2015,"8,532.85"
03-08-2015,"8,543.05"
04-08-2015,"8,516.90"
05-08-2015,"8,567.95"
06-08-2015,"8,588.65"
07-08-2015,"8,564.60"
10-08-2015,"8,525.60"
11-08-2015,"8,462.35"
12-08-2015,"8,349.45"
13-08-2015,"8,355.85"
14-08-2015,"8,518.55"
17-08-2015,"8,477.30"
18-08-2015,"8,466.55"
19-08-2015,"8,495.15"
20-08-2015,"8,372.75"
21-08-2015,"8,299.95"
24-08-2015,"7,809.00"
25-08-2015,"7,880.70"
26-08-2015,"7,791.85"
27-08-2015,"7,948.95"
28-08-2015,"8,001.95"
31-08-2015,"7,971.30"
01-09-2015,"7,785.85"
02-09-2015,"7,717.00"
03-09-2015,"7,823.00"
04-09-2015,"7,655.05"
07-09-2015,"7,558.80"
08-09-2015,"7,688.25"
09-09-2015,"7,818.60"
10-09-2015,"7,788.10"
11-09-2015,"7,789.30"
14-09-2015,"7,872.25"
15-09-2015,"7,829.10"
16-09-2015,"7,899.15"
18-09-2015,"7,981.90"
21-09-2015,"7,977.10"
22-09-2015,"7,812.00"
23-09-2015,"7,845.95"
24-09-2015,"7,868.50"
28-09-2015,"7,795.70"
29-09-2015,"7,843.30"
30-09-2015,"7,948.90"
01-10-2015,"7,950.90"
05-10-2015,"8,119.30"
06-10-2015,"8,152.90"
07-10-2015,"8,177.40"
08-10-2015,"8,129.35"
09-10-2015,"8,189.70"
12-10-2015,"8,143.60"
13-10-2015,"8,131.70"
14-10-2015,"8,107.90"
15-10-2015,"8,179.50"
16-10-2015,"8,238.15"
19-10-2015,"8,275.05"
20-10-2015,"8,261.65"
21-10-2015,"8,251.70"
23-10-2015,"8,295.45"
26-10-2015,"8,260.55"
27-10-2015,"8,232.90"
28-10-2015,"8,171.20"
29-10-2015,"8,111.75"
30-10-2015,"8,065.80"
02-11-2015,"8,050.80"
03-11-2015,"8,060.70"
04-11-2015,"8,040.20"
05-11-2015,"7,955.45"
06-11-2015,"7,954.30"
09-11-2015,"7,915.20"
10-11-2015,"7,783.35"
11-11-2015,"7,825.00"
13-11-2015,"7,762.25"
16-11-2015,"7,806.60"
17-11-2015,"7,837.55"
18-11-2015,"7,731.80"
19-11-2015,"7,842.75"
20-11-2015,"7,856.55"
23-11-2015,"7,849.25"
24-11-2015,"7,831.60"
26-11-2015,"7,883.80"
27-11-2015,"7,942.70"
30-11-2015,"7,935.25"
01-12-2015,"7,954.90"
02-12-2015,"7,931.35"
03-12-2015,"7,864.15"
04-12-2015,"7,781.90"
07-12-2015,"7,765.40"
08-12-2015,"7,701.70"
09-12-2015,"7,612.50"
10-12-2015,"7,683.30"
11-12-2015,"7,610.45"
14-12-2015,"7,650.05"
15-12-2015,"7,700.90"
16-12-2015,"7,750.90"
17-12-2015,"7,844.35"
18-12-2015,"7,761.95"
21-12-2015,"7,834.45"
22-12-2015,"7,786.10"
23-12-2015,"7,865.95"
24-12-2015,"7,861.05"
28-12-2015,"7,925.15"
29-12-2015,"7,928.95"
30-12-2015,"7,896.25"
31-12-2015,"7,946.35"
01-01-2016,"7,963.20"
04-01-2016,"7,791.30"
05-01-2016,"7,784.65"
